CaseID,Speed_mps,Azimuth_deg,J1_CFD_Nm,J1_MAT_Nm,J1_GPR_Nm,J1_Error_Nm,J2_CFD_Nm,J2_MAT_Nm,J2_GPR_Nm,J2_Error_Nm,J3_CFD_Nm,J3_MAT_Nm,J3_GPR_Nm,J3_Error_Nm
case_01_v000_psi00,0,0,0.00862462562501923,0,0.0741000588175159,0.0654754331924967,0.00729119129783192,0,0.386358213267096,0.379067021969265,0.0141182234405097,0,0.010556095239634,0.00356212820087569
case_02_v000_psi15,0,15,0.00873157073215369,0,0.0741000588175159,0.0653684880853622,0.00712261471969707,0,0.386358213267096,0.379235598547399,0.0150658747284678,0,0.010556095239634,0.00450977948883377
case_03_v000_psi30,0,30,0.00909448279595883,0,0.0741000588175159,0.0650055760215571,0.00728580962093059,0,0.386358213267096,0.379072403646166,0.0143643766031706,0,0.010556095239634,0.00380828136353662
case_04_v000_psi45,0,45,0.00893096531902723,0,0.0741000588175159,0.0651690934984887,0.00725362478138332,0,0.386358213267096,0.379104588485713,0.0149525198237153,0,0.010556095239634,0.00439642458408129
case_05_v000_psi60,0,60,0.00862462562501923,0,0.0741000588175159,0.0654754331924967,0.00729119129783192,0,0.386358213267096,0.379067021969265,0.0141182234405097,0,0.010556095239634,0.00356212820087569
case_06_v000_psi75,0,75,0.00862462562501923,0,0.0741000588175159,0.0654754331924967,0.00729119129783192,0,0.386358213267096,0.379067021969265,0.0141182234405097,0,0.010556095239634,0.00356212820087569
case_07_v000_psi90,0,90,0.00862462562501923,0,0.0741000588175159,0.0654754331924967,0.00729119129783192,0,0.386358213267096,0.379067021969265,0.0141182234405097,0,0.010556095239634,0.00356212820087569
case_08_v020_psi00,0.2,0,-0.432035531593097,-0.185243720974725,-0.490238078496624,0.0582025469035273,-0.035788749748306,-3.3246061195931e-09,0.599280053095542,0.635068802843848,-0.0245309430757629,7.99373550931683e-09,-0.110246019640869,0.0857150765651066
case_09_v020_psi15,0.2,15,-0.384014742129194,-0.178931694225235,-0.361094075676669,0.0229206664525251,-0.0460778272202661,-0.0321132606216779,0.382444539880381,0.428522367100647,0.0221171401543541,0.00913939063104554,-0.15343606454342,0.175553204697775
case_10_v020_psi30,0.2,30,-0.325981809902438,-0.160425768212902,-0.175955385119532,0.150026424782906,-0.0709413639668881,-0.0620380522770547,0.278399700086611,0.349341064053499,0.0786399138672139,0.017655938900407,-0.148411261120994,0.227051174988208
case_11_v020_psi45,0.2,45,-0.203762920157161,-0.130987091212976,0.0458463555417382,0.249609275698899,-0.0966216572245973,-0.0877350531924791,0.182459049343876,0.279080706568473,0.162041411971633,0.0249692641115242,-0.114550783519853,0.276592195491487
case_12_v020_psi60,0.2,60,-0.091385065354645,-0.0926218604132894,0.27463255623968,0.366017621594324,-0.135616736826937,-0.107453055221867,0.126880270793384,0.26249700762032,0.172843558615796,0.0305809752371011,-0.0778603086861836,0.25070386730198
case_13_v020_psi75,0.2,75,0.017067633882169,-0.0479446028912983,0.47690040852145,0.459832774639281,-0.17292128006316,-0.119848309112454,0.129132930463376,0.302054210526536,0.187059953134574,0.0341086434377206,0.0228858250700383,0.164174128064536
case_14_v020_psi90,0.2,90,0.12894396530454,8.55321643579652e-11,0.622925562008743,0.493981596704202,-0.140449438577094,-0.124076098795723,0.320685569549099,0.461135008126192,0.253743264995073,0.0353118639552579,0.150868015455495,0.102875249539578
case_15_v040_psi00,0.4,0,-0.861661087835728,-0.740974883898899,-1.27114367492177,0.409482587086037,-0.160307631889813,-1.32984244783724e-08,1.12211665486729,1.2824242867571,-0.138920452813847,3.19749420372673e-08,-0.158425093093869,0.0195046402800222
case_16_v040_psi15,0.4,15,-0.860831865858599,-0.715726776900941,-1.10470344691464,0.243871581056044,-0.106921247325306,-0.128453042486712,0.846061921435365,0.952983168760671,0.0260146092612106,0.0365575625241822,-0.360600794809304,0.386615404070515
