Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
test,1,1,0.00234749979764823,0.00173629496456452,0.0066911458747807,0.00344306984516685,0.999987965478217,1.19747873080042,1.19885971980996,0.00138098900953243,0.115324721350946
test,1,2,0.0020195623513856,0.00174479207326492,0.004849734274115,0.00516174427059102,0.999967845891417,0.974832711810789,0.975938117964882,0.00110540615409338,0.113394446113738
test,1,3,0.000924838537792277,0.00082473638819707,0.00203077805429863,0.0125887638370163,0.999458715515321,0.642555483872737,0.641373635886806,0.00118184798593046,0.183929328376028
validation,2,1,0.00820375393259555,0.00642891991055502,0.0185450694326439,0.0120324175579424,0.999889031286991,1.27085020405179,1.28760230580083,0.0167521017490397,1.31818067114675
validation,2,2,0.0059865541685283,0.00495568815360587,0.0120872801751082,0.0153008703389538,0.999837367516134,0.948222384692851,0.947141595397891,0.00108078929496036,0.113980571689462
validation,2,3,0.00184572994850874,0.0014410134092482,0.00548935682522012,0.0251237999706967,0.998920496802393,0.649159606692929,0.649699544735723,0.000539938042793509,0.0831749291278554
train,3,1,0.00292973479446932,0.00246347924541178,0.00587303145277385,0.00429703190401936,0.999977503678363,0.995886622579945,0.993570524439352,0.00231609814059242,0.2325664476336
train,3,2,0.000930650998676411,0.000796762963144694,0.00162969144122399,0.00237862547647611,0.999982872693672,0.941240847734306,0.9415558483589,0.000315000624593664,0.0334665272285954
train,3,3,0.000507250620215381,0.000388884641076862,0.00149270979308702,0.00690461956669213,0.99989291349123,0.613752989417842,0.614764959848521,0.00101197043067902,0.164882362795316
train,4,1,0.00227163509118787,0.00197044850523968,0.00476221778016905,0.00333179934223101,0.999984791952614,1.03144444725717,1.03396841076583,0.00252396350865491,0.244701836862534
train,4,2,0.00110779101000624,0.000861202188218842,0.00271887313842947,0.00283137279469921,0.99999131423564,0.939366789181739,0.939086568058605,0.000280221123134416,0.0298308526937077
train,4,3,0.000678632530165679,0.000549489300985519,0.00177109928706898,0.00923744448924707,0.999418157322033,0.665615701147761,0.665789418153597,0.000173717005835794,0.0260986941167769
test,5,1,0.00535345525127192,0.00437951880079101,0.0132190294399057,0.00785189432670892,0.99990889564616,0.965801782295733,0.95852237398839,0.00727940830734319,0.753716594935233
test,5,2,0.00494170425306093,0.00391364760108096,0.00994707147759955,0.0126303669692059,0.998556955469377,0.949914008567745,0.943582087484991,0.00633192108275316,0.666578345581013
test,5,3,0.00205940073108756,0.00193830729597334,0.00329178753198955,0.0280322547018071,0.998977295248972,0.623624659628451,0.623212179970888,0.00041247965756297,0.0661422942782155
train,6,1,0.00231759801979601,0.00183592648366174,0.00472686847946513,0.00339921301086893,0.999986287439894,0.980135729859533,0.977451432796175,0.00268429706335827,0.273869932661567
train,6,2,0.000745881091833311,0.000586801740614332,0.00204397555355809,0.00190637711664178,0.999992263796982,1.02045894302981,1.02090612278332,0.000447179753513938,0.0438214351070542
train,6,3,0.00063253198314921,0.000460866513691781,0.00201593292449276,0.00860993073908158,0.999647858975359,0.62255771888117,0.621269971201061,0.00128774768010909,0.206847918040975
validation,7,1,0.00317934060884196,0.00264937361975337,0.0068367287569876,0.00466312788984467,0.999963158952177,0.820629154781511,0.820783900351407,0.000154745569896031,0.0188569427486684
validation,7,2,0.00242706865312082,0.00193180489316497,0.00549373934627367,0.00620327850040491,0.999971186960791,0.990275072795457,0.992377115810047,0.00210204301459016,0.212268598123578
validation,7,3,0.000751111417762612,0.000600977487738697,0.00262028728224939,0.0102240162656628,0.99826122088673,0.631309723754433,0.631254091952736,5.5631801696876e-05,0.00881212495287268
train,8,1,0.0021672938485002,0.00133328328757411,0.00817868254342968,0.00317876240196586,0.999978497694109,0.78210557865106,0.78751175292808,0.00540617427701984,0.691233309746257
train,8,2,0.00108938896190002,0.000859487272853074,0.00344897935288169,0.00278433950240484,0.999996531811143,0.938476938222629,0.936768522265503,0.00170841595712556,0.182041336078126
train,8,3,0.00101092936878933,0.000839832763659779,0.00278494087934233,0.0137606193508896,0.998825879795123,0.724047344565748,0.7237027538751,0.000344590690647406,0.0475922870560456
validation,9,1,0.0059228858806968,0.00467277559077039,0.013837189509295,0.00868707626412649,0.999933337718096,1.24822710180868,1.25006887193706,0.00184177012838127,0.147550884427405
validation,9,2,0.00115614533141711,0.000901069903764647,0.00265328478322291,0.00295496028449848,0.999987483111027,0.806450321001032,0.804989146313146,0.0014611746878852,0.18118595155018
validation,9,3,0.00147289306116344,0.00120533578352645,0.00292641473162281,0.020048800029926,0.99876718086521,0.65292841665788,0.652218400207401,0.000710016450479412,0.108743383250762
test,10,1,0.00294467478971825,0.00249988269587795,0.0047911110632235,0.00431894434344962,0.999953395719302,0.679692125424929,0.684254400291987,0.00456227486705818,0.671226676961418
test,10,2,0.00226910956156309,0.00180179980378911,0.00628208794432644,0.00579955517130023,0.999965009366295,1.05935841335931,1.05675982188513,0.00259859147417263,0.245298611065191
test,10,3,0.00103297761342619,0.000858135390362013,0.00261813828482615,0.0140607367588609,0.993448929330141,0.629708132485812,0.629596367493356,0.000111764992455465,0.0177486976409636
train,11,1,0.0028515447515873,0.00248756353789661,0.00544198249904293,0.00418235083818537,0.999979952783595,0.998745455161322,0.995949777945545,0.00279567721577634,0.279918892379317
train,11,2,0.00132578387606661,0.00114399525362128,0.00243854485803596,0.00338853480885778,0.999984030677609,0.933167484435082,0.930825045277218,0.0023424391578637,0.25102022915873
train,11,3,0.000870740505812382,0.000702741401220049,0.00180188006827009,0.0118523895178103,0.998987912107091,0.624389501681959,0.624299675070527,8.98266114326418e-05,0.0143863103384458
train,12,1,0.0019808713501707,0.00162646008138295,0.0042085890340074,0.00290533716755178,0.999979944393562,0.693954677416426,0.694741061043908,0.000786383627481513,0.113319162342013
